cust_id,version
15,v1
19,v2
30,v1
42,v1
12,v4
36,v1
38,v1
33,v2
39,v2
49,v2
57,v2
59,v2
61,v4
64,v4
66,v2
67,v2
68,v2
52,v2_invoice
70,v4
74,v4
75,v4
73,v3
79,v4
76,v4
80,v3
86,v2
81,v3
91,v3
88,v3
94,v3
87,v3
89,v3
97,v3
99,v4
100,v3
101,v3
106,v3
107,v3
110,v3
115,v3
116,v3
121,v3
122,v4
127,v4
133,v4
134,v4_invoice
135,v3
138,v4
142,v4
145,v2
146,v4
152,v4
153,v4_invoice
154,v4
155,v4
156,v4
160,v3
164,v4
166,v4
167,v3
168,v4
170,v4_invoice
171,v4_invoice
172,v3
173,v4
174,v3
178,v4
180,v4
181,v3
186,v4_invoice
187,v4
188,v4_invoice
190,v4
191,v4
193,v4_invoice
198,v3
199,v4
201,v4
202,v4_invoice
208,v4_invoice
209,v4
211,v4
212,v4
213,v4
214,v4
215,v4
216,v4
219,v4
220,v4
221,v3
226,v4
227,v4_invoice
228,v4_invoice
230,v4
231,v4
234,v4
238,v4
239,v3
240,v4
242,v4
245,v4
246,v4
251,v4
253,v4
256,v4
257,v4
258,v4
259,v4
260,v4
261,v4
262,v4
263,v4
264,v4
265,v4
266,v4
267,v4_invoice
268,v4_invoice
269,v4_invoice
270,v4
280,v4
286,v4
291,v4
292,v4
294,v4
295,v4
296,v4
297,v4
298,v4
299,v4
300,v4
301,v4
271,v4_invoice
272,v4
273,v4
274,v4
275,v4
276,v4
277,v4
278,v4
279,v4
281,v4
282,v4
283,v4
284,v4
285,v4
287,v4
288,v4
289,v4
302,v4
303,v4
304,v4
305,v4
306,v4_invoice
307,v4
308,v4
309,v4
310,v4
311,v4
312,v4
314,v4
317,v4
319,v4
320,v4
321,v4
322,v4
323,v4
325,v4
326,v4_invoice
327,v4
328,v4_invoice
5005,v3_invoice
5006,v3_invoice
5009,v3
5010,v3
5011,v5
5012,v4
5013,v5
5016,v4
5019,v4
5021,v4
5022,v4
5025,v4
5029,v4
5030,v4
5031,v6
5033,v4
5035,v4
5036,v4
5040,v4
5042,v4
5043,v4
5046,v4
5048,v4
5055,v4
5058,v4
5064,v5
5070,v5
5074,v5
5076,v5
5081,v5
5083,v6
5088,v5
5093,v6
5101,v5
5104,v6
5110,v5
5119,v5
5126,v6
5128,v5
5136,v5
5142,v6
5147,v5
5151,v5
5154,v5
5155,v5
5156,v5
5157,v5
5159,v5
5161,v5
5162,v5
5164,v6
5165,v5
5166,v5
5167,v6
5168,v5
5169,v5
5170,v5
5172,v5
5174,v5
5175,v5
5176,v5
5178,v5
5180,v5
5181,v5
5182,v5
